Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Max_Anual,Ln_Max_Anual
2006,1.66,5.84,11.94,20.32,0.0,35.81,50.8,17.78,43.18,23.62,0.0,37.91,50.8,3.927896354584436
2007,76.2,0.0,50.8,11.43,53.34,50.8,55.88,43.18,14.98,15.49,5.59,0.0,76.2,4.333361462692601
2008,17.78,0.0,17.53,53.34,44.45,6.35,43.18,24.13,58.42,0.0,0.0,0.0,58.42,4.067658296959595
2009,0.0,0.0,0.0,10.16,27.94,10.16,7.62,23.88,41.4,43.18,32.0,30.48,43.18,3.7653774250866614
2010,27.94,67.31,8.89,112.01,74.93,25.4,92.71,22.86,63.5,0.0,3.81,2.54,112.01,4.718588153023648
2011,45.72,0.0,0.0,0.0,43.94,6.35,0.0,35.05,41.91,20.32,9.65,44.45,45.72,3.8225358389266098
2012,4.57,22.86,13.72,10.16,33.02,25.4,25.4,2.54,49.28,2.54,10.16,0.0,49.28,3.8975183192252643
2013,16.51,5.33,40.64,15.24,37.85,29.21,35.05,17.27,50.29,7.11,50.8,12.56,50.8,3.927896354584436
2014,7.62,17.78,23.33,1.27,15.49,2.54,32.77,30.32,29.0,7.87,48.26,7.11,48.26,3.8766030601968855
2015,11.81,16.0,60.2,49.28,125.22,60.45,2.64,11.68,19.3,19.18,14.48,3.81,125.22,4.830072190317164
2016,28.69,0.0,24.92,26.67,38.61,9.91,0.0,32.09,22.1,18.03,28.7,32.12,38.61,3.653511310276145
2017,6.86,8.13,81.28,27.78,62.74,11.43,6.35,6.34,72.84,21.08,42.67,19.58,81.28,4.397899983830172
2018,0.71,5.59,18.54,8.13,61.98,68.33,20.07,5.33,86.36,27.94,9.94,42.42,86.36,4.458524605646606
2019,7.37,3.48,18.8,14.99,52.58,41.66,1.27,97.03,22.86,26.42,9.33,31.5,97.03,4.575020209037208
2020,6.86,2.29,7.32,41.21,31.75,28.19,43.62,3.96,59.69,16.5,7.18,1.57,59.69,4.089164502180559
2021,7.11,2.57,1.52,17.27,39.62,60.2,28.45,29.18,40.89,12.19,117.86,5.08,117.86,4.769497479409767
2022,4.32,2.29,1.52,35.05,51.31,3.3,3.05,64.01,8.13,7.34,42.93,4.83,64.01,4.159039321153912
2023,5.59,3.05,13.27,61.98,19.56,3.56,84.84,68.07,7.87,36.07,53.34,2.03,84.84,4.440767129696482
2024,61.98,7.62,24.38,18.54,53.85,93.22,43.18,2.03,31.24,17.78,12.19,5.08,93.22,4.534962290944595
2025,31.24,0.33,42.16,4.83,15.24,37.34,34.29,0.0,50.06,1.6,0.2,,50.06,3.913222286003628
