,TR (AÑOS),2,5,10,20,50,100,500,1000,10000
31,160,30.95799313181615,40.86051435661376,48.351482483470456,60.66179735484392,76.46945437195922,88.42748528018512,116.19317320552635,128.15120411375224,167.87492294731942
32,165,31.28121819576571,41.28712929608008,48.856308844508504,61.236080272278826,77.19338777430303,89.26462490417423,117.29316953606963,129.3644066659408,169.4641884277074
33,170,31.597178572416915,41.70415579554685,49.349788914488265,61.79679571444629,77.90021819790002,90.0819870442803,118.36717837411432,130.54894722049463,171.0159073967089
34,175,31.90624419247101,42.11208211530489,49.832500466579496,62.344672832716114,78.59086480126231,90.88063459387003,119.41659635502397,131.70636614763168,172.53209770139335
35,180,32.2087562194135,42.51135854667112,50.3049763441168,62.880381340875466,79.26617181667652,91.66154380337845,120.44270626588143,132.83807825258336,174.01461270178825
36,185,32.50503001637795,42.90240132786202,50.76770909437107,63.40453789583687,79.92691659363925,92.42561358154931,121.44668926726179,133.94538625517185,175.46515892879435
37,190,32.79535773577714,43.28559606196905,51.22115501314314,63.917711639084004,80.57381658432988,93.17367357327227,122.42963550746055,135.02949249640295,176.88531141953365
38,195,33.08001058825426,43.661300711678365,51.665737688506304,64.42042902832375,81.20753543432681,93.90649120274432,123.39255337716492,136.09150914558242,178.27652708842052
39,200,33.3592408378065,44.029848232573855,52.10185111687337,64.91317806606375,81.82868831309618,94.62477783752205,124.33637760898036,137.13246713340624,179.6401564292904
40,205,33.63328356209648,44.39154889651865,52.52986245232431,65.3964120135443,82.43784659572486,95.32919420236803,125.26197639119177,138.15332399783492,180.97745379330183
41,210,33.902358210598315,44.74669234820482,52.95011444018367,65.87055266366217,83.03554198872469,96.02035515023414,126.1701576368061,139.15497079831553,182.28958644639692
42,215,34.16666998802245,45.095549431093744,53.362927577711105,66.33599323449633,83.62227017757252,96.69883388019137,127.06167452588642,140.1382382285053,183.5776425768192
43,220,34.426411086190335,45.43837381333009,53.76860203809449,66.79310093521426,84.19849406125752,97.36516567778467,127.9372304203551,141.10390203688226,184.84263839597983
44,225,34.68176178400413,45.77540343955831,54.167419388428385,67.24221924805998,84.76464662892496,98.01985124151626,128.79748323497253,142.05268784756385,186.08552445361138
45,230,34.93289143223248,46.10686183071157,54.559644127793476,67.68366996345831,85.32113352530153,98.66335964944338,129.64304933542846,142.9852754595703,187.30719126969717
46,235,35.17995933739928,46.43295925062965,54.9455250677509,68.11775499974155,85.86833534461856,99.29613101181744,130.47450702389335,143.90230269109222,188.508474370367
47,240,35.423115557025284,46.75389375567408,55.325296574383565,68.54475803440091,86.4066096869459,99.91857884898033,131.29239966355976,144.8043688255942,189.69015880220806
48,245,35.66250161676293,47.069852141252724,55.699179688347314,68.9649459699161,86.93629300599713,100.53109222812297,132.09723848632981,145.69203770845564,190.85298318878836
