,TR (AÑOS),2,5,10,20,50,100,500,1000,10000
46,235,8.98211727763386,11.855223638458634,14.028644698149167,17.391767233976566,21.923830300753675,25.352203662591688,33.312640091206816,36.74101345304482,48.12982324349796
47,240,8.855778889256321,11.68847343891852,13.831324143595891,17.13618950860023,21.60165242173647,24.979644712245083,32.82309991588994,36.20109220639855,47.422539700552015
48,245,8.733673865329697,11.527310728470056,13.640615433880976,16.88937452324476,21.290520736162563,24.61985932117297,32.35034411910118,35.679682704111585,46.739506087050216
49,250,8.615580278045583,11.371442591343056,13.45617195291419,16.650856860955944,20.98984854561388,24.27216904507164,31.893481229187334,35.17580172864509,46.07943441221856
50,255,8.501291888817372,11.22059681949442,13.277671588685067,16.420204252056063,20.699090936687963,23.935943758850343,31.451683265644625,34.688536087807016,45.441128416763675
51,260,8.390616762634952,11.074520083736985,13.104814569104375,16.197014635678272,20.41774107680727,23.610597373192007,31.024180110705743,34.21703640709048,44.82347544098895
52,265,8.283376028343637,10.93297629746937,12.937321525756161,15.980913531118683,20.145326900580592,23.29558400273919,30.610254474359706,33.760511576518304,44.22543915029742
53,270,8.179402767088401,10.7957451495673,12.774931757823651,15.771551681327848,19.881408139219808,22.990394530981263,30.209237380634686,33.31822377239614,43.64605301381101
54,275,8.078541013606486,10.662620786220067,12.617401672266492,15.568602936033422,19.625573652032468,22.694553524454903,29.82050411287639,32.889483985298824,43.084414446142745
55,280,7.980644857120491,10.533410624226642,12.464503379558138,15.371762346368683,19.377439024535892,22.407616455259546,29.443470564150417,32.47364799487407,42.5396795344886
56,285,7.885577630342369,10.407934280586694,12.316023427038528,15.180744446608655,19.13664440243654,22.129167196321905,29.07758994603515,32.07011273992051,42.011058283519134
57,290,7.793211176597719,10.286022605200214,12.1717616542783,14.995281701793822,18.90285253472519,21.85881575847703,28.722349815160236,31.678313038912076,41.497810319347124
58,295,7.703425186361308,10.167516805180924,12.03153015685235,14.815123102740321,18.67574700256546,21.596196242396534,28.377269382052745,31.29771862188382,40.99924100137111
59,300,7.616106595593334,10.052267650738566,11.895152346636351,14.640032892266927,18.455030613592477,21.340964981793206,28.04189707131949,30.927831439520215,40.51469789724722
60,305,7.531149039210476,9.940134753831988,11.762462098215096,14.469789408474258,18.24042394376608,21.092798857254174,27.715808306034088,30.568183219522187,40.0435675817902
61,310,7.44845235383977,9.830985911869055,11.633302972262792,14.30418403264029,18.03166401110188,20.851393762574627,27.39860349250897,30.218333243981714,39.5852727253888
62,315,7.367922124706765,9.724696509658134,11.507527507854132,14.143020230790471,17.828503067487304,20.61646320764217,27.089906184493877,29.877866324648743,39.13926944165532
63,320,7.28946927211859,9.62114897361963,11.38499657661631,13.986112679295,17.63070749642118,20.387737043808716,26.789361408322442,29.546390955709978,38.70504486761125
64,325,7.213009673531625,9.520232272964611,11.265578792458609,13.833286465970106,17.43805680593263,20.164960299325493,26.49663413268088,29.22353762607374,38.28211495282199
65,330,7.138463817653666,9.421841463154754,11.149149971334733,13.684376359138462,17.250342707168347,19.94789211384294,26.211407868547422,28.90895727522202,37.8700224366011
66,335,7.065756487432006,9.32587726748795,11.035592636120406,13.539226137957176,17.06736827021299,19.736304762221234,25.9333833864853,28.60231987849354,37.468334994765854
67,340,6.994816469129599,9.232245693116777,10.924795562236413,13.397687978067863,16.888947149647855,19.52998275898443,25.662277539901,28.303313149237585,37.07664353949074
68,345,6.925576284998884,9.140857678212797,10.816653360127457,13.25962188727659,16.714902873176456,19.328722035703816,25.397822184131044,28.011641346658397,36.69456065761299
69,350,6.857971947332364,9.051628767345404,10.711066091128098,13.124895186544773,16.545068187368663,19.132329184431676,25.139763182318585,27.727024179381594,36.32171917433152
70,355,6.791942731906228,8.964478812456926,10.607938913617584,12.993382032076571,16.37928445521033,18.94062076104189,24.88785949000722,27.44919579583878,35.95777083063567
71,360,6.727430969042114,8.879331697091413,10.507181756691404,12.864962974732162,16.217401100705597,18.753422642981,24.641882311229843,27.177903853505242,35.602385064029484
72,365,6.664381850696475,8.796115081777733,10.408709018865439,12.739524553388655,16.059275096273055,18.57056943650513,24.401614319621608,26.91290865985368,35.25524788320223
73,370,6.602743252150002,8.714760168682888,10.312439289583066,12.616958919216653,15.904770489113774,18.39190392898311,24.166848938749567,26.6539823786189,34.916060828254686
74,375,6.5424655670138305,8.635201483841694,10.218295091521002,12.49716348814771,15.753757963116403,18.217276582293774,23.937389676439842,26.40090829561722,34.584540008940664
75,380,6.483501554397428,8.557376675438338,10.126202641889726,12.380040619080123,15.60611443320768,18.046545063742418,23.713049508404712,26.153480138939457,34.2604152141365
76,385,6.425806197196712,8.481226326765153,10.036091631101984,12.265497315612373,15.461722669361581,17.87957381127376,23.493650306935155,25.91150144884734,33.94342908642091
77,390,6.369336570562355,8.406693782617957,9.94789501734109,12.153444949309145,15.320470947752142,17.71623363007326,23.279022310837377,25.67478499315849,33.633336356243724
78,395,6.314051719698407,8.333724988006136,9.86154883570174,12.043799002696487,15.182252726776573,17.556401317927815,23.069003633159145,25.443152224310392,33.32990313069297
79,400,6.259912546222024,8.262268338162336,9.776992020701915,11.936478830354208,15.046966345891525,17.39995931696712,22.86343980358004,25.216432774655637,33.032906232344146
80,405,6.206881702387177,8.192274538931526,9.694166241077037,11.831407436626812,14.914514745398458,17.24679538962998,22.662183342633153,24.99446398686467,32.742132584099366
